session,time,strategy,coin,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge,why,tau,yes_bid,yes_ask,mkt_prob
20260920_222952,2026-09-20T22:42:57,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,32,0.38,2.63,0.53,12.69,,,,81595.01,81598.69,,1009.42,0.427,0.031,entry,123,0.63,0.64,0.635
20260920_222952,2026-09-20T22:42:57,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,19,0.65,1.54,0.31,12.66,,,,81595.01,81598.69,,986.65,0.573,-0.093,entry,123,0.63,0.64,0.635
20260920_222952,2026-09-20T22:42:59,Favorite,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,9,0.76,1.32,0.12,6.96,,,,0.088635,0.08855,,1017.42,0.78,0.007,entry,121,0.25,0.27,0.26
20260920_222952,2026-09-20T22:42:59,Anti Favorite,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,5,0.28,3.57,0.08,1.48,,,,0.088635,0.08855,,993.88,0.22,-0.074,entry,121,0.25,0.27,0.26
20260920_222952,2026-09-20T22:43:08,Late,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,5,0.21,4.76,0.06,1.11,,,,0.088635,0.08858,,974.1,0.298,0.076,entry,112,0.19,0.2,0.195
20260920_222952,2026-09-20T22:43:08,Anti Late,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,1,0.82,1.22,0.02,0.84,,,,0.088635,0.08858,,999.88,0.702,-0.128,entry,112,0.19,0.2,0.195
20260920_222952,2026-09-20T22:43:09,Late,SOL,BET,KXSOL15M-26SEP210145-45,UP,35,0.1,9.62,0.23,3.87,,,,111.9588,111.84,,973.27,0.151,0.04,entry,111,0.093,0.094,0.093
20260920_222952,2026-09-20T22:43:09,Anti Late,SOL,BET,KXSOL15M-26SEP210145-45,DOWN,3,0.92,1.09,0.02,2.77,,,,111.9588,111.84,,999.75,0.849,-0.073,entry,111,0.093,0.094,0.093
20260920_222952,2026-09-20T22:43:10,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,34,0.34,2.94,0.54,12.1,,,,81595.01,81602.36,,1005.01,0.387,0.032,entry,110,0.67,0.68,0.675
20260920_222952,2026-09-20T22:43:10,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,17,0.69,1.45,0.26,11.99,,,,81595.01,81602.36,,986.77,0.613,-0.092,entry,110,0.67,0.68,0.675
20260920_222952,2026-09-20T22:43:17,Value,SOL,BET,KXSOL15M-26SEP210145-45,UP,10,0.2,5.0,0.12,2.12,,,,111.9588,111.9,,994.4,0.254,0.042,entry,103,0.18,0.19,0.185
20260920_222952,2026-09-20T22:43:17,Anti Value,SOL,BET,KXSOL15M-26SEP210145-45,DOWN,2,0.83,1.2,0.02,1.68,,,,111.9588,111.9,,1001.44,0.746,-0.094,entry,103,0.18,0.19,0.185
20260920_222952,2026-09-20T22:43:17,Model,SOL,BET,KXSOL15M-26SEP210145-45,UP,1,0.2,5.0,0.02,0.22,,,,111.9588,111.9,,1087.56,0.322,0.111,entry,103,0.18,0.19,0.185
20260920_222952,2026-09-20T22:43:17,Scalper,SOL,BET,KXSOL15M-26SEP210145-45,UP,10,0.2,5.0,0.12,2.12,,,,111.9588,111.9,,999.88,0.254,0.042,entry,103,0.18,0.19,0.185
20260920_222952,2026-09-20T22:43:17,Anti Scalper,SOL,BET,KXSOL15M-26SEP210145-45,DOWN,2,0.83,1.2,0.02,1.68,,,,111.9588,111.9,,989.86,0.746,-0.094,entry,103,0.18,0.19,0.185
20260920_222952,2026-09-20T22:43:18,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,57,0.24,4.17,0.73,14.41,,,,81595.01,81605.47,,996.34,0.319,0.066,entry,102,0.77,0.78,0.775
20260920_222952,2026-09-20T22:43:18,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,17,0.79,1.27,0.2,13.63,,,,81595.01,81605.47,,989.52,0.681,-0.121,entry,102,0.77,0.78,0.775
20260920_222952,2026-09-20T22:43:21,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,30,0.17,5.88,0.3,5.4,,,,0.088635,0.08858,,1006.04,0.215,0.035,entry,99,0.14,0.16,0.15
20260920_222952,2026-09-20T22:43:21,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,6,0.87,1.15,0.05,5.27,,,,0.088635,0.08858,,983.2,0.785,-0.093,entry,99,0.14,0.16,0.15
20260920_222952,2026-09-20T22:43:26,Scalper,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,42,0.24,4.17,0.54,10.62,,,,81595.01,81610.52,,992.88,0.287,0.034,entry,94,0.77,0.78,0.775
20260920_222952,2026-09-20T22:43:26,Anti Scalper,BTC,BET,KXBTC15M-26SEP210145-45,UP,13,0.79,1.27,0.16,10.43,,,,81595.01,81610.52,,988.46,0.713,-0.089,entry,94,0.77,0.78,0.775
20260920_222952,2026-09-20T22:43:29,Late,SOL,BET,KXSOL15M-26SEP210145-45,UP,10,0.16,6.25,0.1,1.7,,,,111.9588,111.88,,958.03,0.233,0.064,entry,91,0.14,0.15,0.145
